annotation	order	role	annotation_prop_discovery	covariance_discovery	covariance_se_discovery	covariance_z_discovery	covariance_p_two_sided_discovery	covariance_enrichment_discovery	h2_trait_1_discovery	h2_trait_2_discovery	correlation_descriptive_discovery	estimable_positive_h2_discovery	annotation_prop_replication	covariance_replication	covariance_se_replication	covariance_z_replication	covariance_p_two_sided_replication	covariance_enrichment_replication	h2_trait_1_replication	h2_trait_2_replication	correlation_descriptive_replication	estimable_positive_h2_replication	discovery_fdr_bh	same_direction	replication_p_directional	positive_h2_both_pairs	replicated_annotation_covariance	replicated_concentration	decision
Coding_UCSC	1	primary	0.0142591398753162	0.000390989006546529	0.00194814946299433	0.200697643570721	0.840935002386228	2.43121695159446	0.037468745186198	0.00262743888667258	0.0394061186240402	TRUE	0.0142591398753162	0.000467286763419807	0.000655834920565142	0.71250668234796	0.476151074957539	6.99309049878913	0.00433197290247079	0.00342724228433961	0.121274141742876	TRUE	0.945413253517783	TRUE	0.23807553747877	TRUE	FALSE	FALSE	not_discovery_fdr
Conserved_LindbladToh	2	primary	0.0246705380614743	0.0039924887121219	0.00336033991792864	1.18812049067433	0.234785942568643	14.3488657863098	0.0294012739093815	0.00803157740735386	0.259812593533474	TRUE	0.0246705380614743	-0.000710235957672548	0.00100141497784559	-0.709232409525694	0.478180264506044	-6.14331851625023	0.00479178124595754	0.0121731035121993	-0.0929936955156792	TRUE	0.586964856421607	FALSE	0.760909867746978	TRUE	FALSE	FALSE	not_discovery_fdr
DHS_Trynka	3	primary	0.165742769149422	-0.00316378265744462	0.00755549822766624	-0.418739117145139	0.675406804273909	-1.69248390940822	0.037371612197439	0.0109566403798973	-0.156349688603529	TRUE	0.165742769149422	0.00294586575726614	0.0025259982527753	1.16621844612502	0.243526136416966	3.7927774507562	0.0101454792776321	0.0120537272759247	0.266388816033132	TRUE	0.945413253517783	FALSE	0.878236931791517	TRUE	FALSE	FALSE	not_discovery_fdr
Enhancer_Andersson	4	primary	0.00431375844865067	8.81758322209563e-05	0.00152877983829883	0.0576772600030329	0.954005707424188	1.81236740288496	0.0513893217868891	0.000134270593148533	0.0335677838913601	TRUE	0.00431375844865067	-7.93414322754966e-06	0.000509712112031937	-0.0155659303364809	0.987580686041557	-0.392485134067639	0.00389857133776849	0.000697120268085689	-0.00481275150555969	TRUE	0.954005707424188	FALSE	0.506209656979221	TRUE	FALSE	FALSE	not_discovery_fdr
H3K27ac_Hnisz	5	primary	0.389043808427187	0.00603463841355955	0.00298692196578533	2.02035355549468	0.0433467273236291	1.37532470060655	0.275817220639814	0.015523824129777	0.0922234165059852	TRUE	0.389043808427187	0.00336678663804471	0.00110420215189071	3.04906726751057	0.00229553075746409	1.84669887900944	0.028507558789642	0.0218781140737644	0.134812648045161	TRUE	0.144489091078764	TRUE	0.00114776537873205	TRUE	FALSE	FALSE	not_discovery_fdr
H3K4me1_Trynka	6	primary	0.423455069727212	-0.00481413051154333	0.0054806542914287	-0.878386093257559	0.379734228704101	-1.00800577693796	0.246067666355454	0.0224141918880466	-0.0648229873931818	TRUE	0.423455069727212	0.00511386564527201	0.00161656781563282	3.16340928961903	0.00155932937428561	2.57703890876624	0.0308424744962802	0.0293709092346497	0.169908854147407	TRUE	0.759468457408202	FALSE	0.999220335312857	TRUE	FALSE	FALSE	not_discovery_fdr
Promoter_UCSC	7	primary	0.0463352847994828	0.000524978662894512	0.00279235020793232	0.188006024961765	0.850871928166005	1.00457487870485	0.0453629007028476	0.00158207672209847	0.0619694259885054	TRUE	0.0463352847994828	0.000723819038694146	0.000977636123379807	0.740376732594347	0.459071432931951	3.33347470603719	0.0105153487416308	0.00388361214647917	0.113266175497146	TRUE	0.945413253517783	TRUE	0.229535716465976	TRUE	FALSE	FALSE	not_discovery_fdr
SuperEnhancer_Hnisz	8	primary	0.167206746204891	0.00470035492120419	0.00177107320840257	2.65395857094111	0.00795535935274883	2.49246664268663	0.187409356318627	0.00575030724537426	0.143182352262406	TRUE	0.167206746204891	0.00240056873809493	0.000637355954680288	3.76644906267347	0.000165585847958336	3.06365141273109	0.016819353515188	0.0102392212408749	0.182926250758447	TRUE	0.0397767967637442	TRUE	8.2792923979168e-05	TRUE	TRUE	TRUE	replicated_concentration
TFBS_ENCODE	9	primary	0.130971510741451	-0.00423861447802624	0.00651136128386953	-0.650956734427635	0.515074416274149	-2.8694560555453	0.204752605618026	0.0109004518538937	-0.0897195213844503	TRUE	0.130971510741451	0.00414963539669693	0.00182167495973051	2.27792305895823	0.0227311621566083	6.76101813940965	0.0247072859584207	0.0136912034928617	0.22561948625623	TRUE	0.858457360456915	FALSE	0.988634418921696	TRUE	FALSE	FALSE	not_discovery_fdr
Repressed_Hoffman	10	negative_comparator	0.460018093796861	0.0155384657116562	0.00531482816343052	2.92360641470424	0.00346001935096745	2.99492339043906	0.0376374294762635	0.0182785445373374	0.592416779314854	TRUE	0.460018093796861	0.00332550829218871	0.00196745206780738	1.69026140285837	0.0909779557686249	1.54263123159278	0.000883910680246119	0.0260514938148433	0.693006852173785	TRUE	0.0346001935096745	TRUE	0.0454889778843124	TRUE	TRUE	TRUE	replicated_concentration
