locus	pair_type	trait1	trait2	ridge	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	status	message
block154	external_disease_pair	Howard_DEP	deLange_IBD	0	1e-05	2090	4.14328723816455e-16	8.93377730777153e-18	0.970781135571103	0.0209237377768155	0.00829512665208012	ok	
block154	external_disease_pair	Howard_DEP	deLange_IBD	0	1e-06	2090	4.17445208604565e-16	9.00097511347416e-18	0.978083126641681	0.0210811212907829	0.000835752067532944	ok	
block154	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	0	1e-05	2090	4.70182712360526e-13	4.13121973589942e-14	0.86855956601676	0.0762600546687436	0.0551803793139839	ok	
block154	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	0	1e-06	2090	4.94753320671903e-13	4.3471072607074e-14	0.913948382599479	0.0802452201880431	0.0058063972119407	ok	
block154	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	0	1e-05	2090	5.1104693938416e-13	1.10192204591126e-14	0.944047273999614	0.020319963238972	0.0356327627608922	ok	
block154	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	0	1e-06	2090	5.27978953290986e-13	1.13843094160701e-14	0.975325460679149	0.0209932045278506	0.00368133479246213	ok	
block154	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	0	1e-05	2090	3.80528524132919e-16	3.34348096525756e-17	0.891586538756598	0.0783083750055013	0.0301050862379017	ok	
block154	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	0	1e-06	2090	3.91125915610313e-16	3.43659402890184e-17	0.916416455538022	0.0804891957673162	0.00309434869466284	ok	
block154	depression_cross_cohort	Howard_DEP	FinnGen_DEP	0	1e-05	2090	0.89880023288412	0.019379976968039	0.0789723050871064	0.00170165908851916	0.00114582597221534	ok	
block154	depression_cross_cohort	Howard_DEP	FinnGen_DEP	0	1e-06	2090	0.899728071497148	0.0193999830720571	0.0790538288243495	0.00170341572470012	0.000114700881745941	ok	
block154	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-05	2090	3.5369620142092e-30	8.28717827959939e-15	6.53376253809118e-18	0.0143230696075134	0.985676930392472	ok	
block154	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-06	2090	3.13308363880599e-29	7.34088253573919e-14	5.78768571042001e-17	0.126875479195139	0.873124520804789	ok	
