locus	trait	n_reference_region	n_numeric_input	n_reference_joined	n_allele_compatible_unique	n_duplicate_rsids_removed
block154	Howard_DEP	2894	2399	2399	2399	0
block154	FinnGen_DEP	2894	2668	2668	2663	0
block154	deLange_IBD	2894	2539	2539	2539	0
block154	FinnGen_IBD	2894	2668	2668	2663	0
block464	Howard_DEP	3972	3197	3197	3197	0
block464	FinnGen_DEP	3972	3637	3637	3631	0
block464	deLange_IBD	3972	3311	3311	3311	0
block464	FinnGen_IBD	3972	3637	3637	3631	0
block1671	Howard_DEP	2826	2256	2256	2256	0
block1671	FinnGen_DEP	2826	2633	2633	2630	0
block1671	deLange_IBD	2826	2468	2468	2468	0
block1671	FinnGen_IBD	2826	2633	2633	2630	0
