qtl_key	locus	dataset_label	dataset_id	qtl_type	sample_size	gene_id	gene_symbol	molecular_trait_id	n_aligned	min_qtl_p	n_molecular_traits_screened_for_gene
block154__QTD000146__ENSG00000118197__ENSG00000118197	block154	GTEx_amygdala_eQTL	QTD000146	eQTL	129	ENSG00000118197	DDX59	ENSG00000118197	1819	1.65487e-07	1
block154__QTD000146__ENSG00000260088__ENSG00000260088	block154	GTEx_amygdala_eQTL	QTD000146	eQTL	129	ENSG00000260088	RP11-92G12.3	ENSG00000260088	1819	3.8449700000000003e-19	1
block464__QTD000146__ENSG00000173531__ENSG00000173531	block464	GTEx_amygdala_eQTL	QTD000146	eQTL	129	ENSG00000173531	MST1	ENSG00000173531	1401	1.8841e-06	1
block464__QTD000146__ENSG00000173540__ENSG00000173540	block464	GTEx_amygdala_eQTL	QTD000146	eQTL	129	ENSG00000173540	GMPPB	ENSG00000173540	1362	1.20473e-09	1
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	GTEx_amygdala_sQTL	QTD000150	sQTL	129	ENSG00000260088	RP11-92G12.3	1:200690430:200693694:clu_51747_+	1819	1.86642e-08	1
block464__QTD000150__ENSG00000173531__3:49684189:49684314:clu_44352_-	block464	GTEx_amygdala_sQTL	QTD000150	sQTL	129	ENSG00000173531	MST1	3:49684189:49684314:clu_44352_-	1403	4.09775e-11	1
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000118197	DDX59	ENSG00000118197	1954	2.20304e-16	1
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000118200	CAMSAP2	ENSG00000118200	1954	6.66727e-06	1
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000260088	RP11-92G12.3	ENSG00000260088	1954	6.88703e-28	1
block464__QTD000226__ENSG00000145020__ENSG00000145020	block464	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000145020	AMT	ENSG00000145020	1753	7.69213e-11	1
block464__QTD000226__ENSG00000164068__ENSG00000164068	block464	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000164068	RNF123	ENSG00000164068	1539	2.71276e-10	1
block464__QTD000226__ENSG00000173421__ENSG00000173421	block464	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000173421	CCDC36	ENSG00000173421	1927	2.15514e-15	1
block464__QTD000226__ENSG00000173540__ENSG00000173540	block464	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000173540	GMPPB	ENSG00000173540	1495	3.9662800000000003e-19	1
block464__QTD000226__ENSG00000188315__ENSG00000188315	block464	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000188315	C3orf62	ENSG00000188315	1931	2.23597e-06	1
block464__QTD000226__ENSG00000225399__ENSG00000225399	block464	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000225399	RP11-3B7.1	ENSG00000225399	1938	7.96947e-13	1
block464__QTD000226__ENSG00000228008__ENSG00000228008	block464	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000228008	CTD-2330K9.3	ENSG00000228008	1380	3.15323e-06	1
block1671__QTD000226__ENSG00000134824__ENSG00000134824	block1671	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000134824	FADS2	ENSG00000134824	1739	7.84544e-12	1
block1671__QTD000226__ENSG00000149485__ENSG00000149485	block1671	GTEx_colon_sigmoid_eQTL	QTD000226	eQTL	318	ENSG00000149485	FADS1	ENSG00000149485	1641	2.33816e-09	1
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	GTEx_colon_sigmoid_sQTL	QTD000230	sQTL	318	ENSG00000260088	RP11-92G12.3	1:200690430:200693753:clu_50348_+	1954	3.27671e-10	1
block464__QTD000230__ENSG00000114316__3:49292598:49294407:clu_43107_-	block464	GTEx_colon_sigmoid_sQTL	QTD000230	sQTL	318	ENSG00000114316	USP4	3:49292598:49294407:clu_43107_-	1915	1.01894e-08	1
block464__QTD000230__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	GTEx_colon_sigmoid_sQTL	QTD000230	sQTL	318	ENSG00000164068	RNF123	3:49700709:49701491:clu_29483_+	1519	2.36705e-15	1
block464__QTD000230__ENSG00000173531__3:49684189:49684371:clu_43117_-	block464	GTEx_colon_sigmoid_sQTL	QTD000230	sQTL	318	ENSG00000173531	MST1	3:49684189:49684371:clu_43117_-	1541	2.15005e-45	1
block464__QTD000230__ENSG00000233276__3:49357747:49358165:clu_43073_-	block464	GTEx_colon_sigmoid_sQTL	QTD000230	sQTL	318	ENSG00000233276	GPX1	3:49357747:49358165:clu_43073_-	1831	5.44615e-11	1
block1671__QTD000230__ENSG00000134780__11:61729008:61731317:clu_61952_+	block1671	GTEx_colon_sigmoid_sQTL	QTD000230	sQTL	318	ENSG00000134780	DAGLA	11:61729008:61731317:clu_61952_+	1808	5.65072e-11	1
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000118197	DDX59	ENSG00000118197	1972	2.30537e-33	1
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000260088	RP11-92G12.3	ENSG00000260088	1972	1.28014e-22	1
block464__QTD000231__ENSG00000145020__ENSG00000145020	block464	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000145020	AMT	ENSG00000145020	1734	1.35005e-10	1
block464__QTD000231__ENSG00000164068__ENSG00000164068	block464	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000164068	RNF123	ENSG00000164068	1526	4.39958e-08	1
block464__QTD000231__ENSG00000173421__ENSG00000173421	block464	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000173421	CCDC36	ENSG00000173421	1906	2.99267e-14	1
block464__QTD000231__ENSG00000173540__ENSG00000173540	block464	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000173540	GMPPB	ENSG00000173540	1482	1.4824200000000002e-18	1
block464__QTD000231__ENSG00000182179__ENSG00000182179	block464	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000182179	UBA7	ENSG00000182179	1426	1.89089e-17	1
block464__QTD000231__ENSG00000225399__ENSG00000225399	block464	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000225399	RP11-3B7.1	ENSG00000225399	1918	1.00586e-07	1
block1671__QTD000231__ENSG00000134824__ENSG00000134824	block1671	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000134824	FADS2	ENSG00000134824	1767	5.53274e-22	1
