qtl_key	locus	gene_symbol	dataset_label	gwas_trait	n_snps	qtl_converged	gwas_converged	qtl_n_cs	gwas_n_cs
block154__QTD000146__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_amygdala_eQTL	deLange_IBD	1819	TRUE	TRUE	1	1
block154__QTD000146__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_amygdala_eQTL	FinnGen_IBD	1819	TRUE	TRUE	1	2
block154__QTD000146__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	GTEx_amygdala_eQTL	deLange_IBD	1819	TRUE	TRUE	2	1
block154__QTD000146__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	GTEx_amygdala_eQTL	FinnGen_IBD	1819	TRUE	TRUE	2	2
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	GTEx_amygdala_sQTL	deLange_IBD	1819	TRUE	TRUE		1
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	GTEx_amygdala_sQTL	FinnGen_IBD	1819	TRUE	TRUE		2
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_colon_sigmoid_eQTL	deLange_IBD	1954	TRUE	TRUE	1	1
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1954	TRUE	TRUE	1	2
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	GTEx_colon_sigmoid_eQTL	deLange_IBD	1954	TRUE	TRUE		1
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1954	TRUE	TRUE		2
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	GTEx_colon_sigmoid_eQTL	deLange_IBD	1954	TRUE	TRUE	1	1
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1954	TRUE	TRUE	1	2
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	GTEx_colon_sigmoid_sQTL	deLange_IBD	1954	TRUE	TRUE	1	1
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	GTEx_colon_sigmoid_sQTL	FinnGen_IBD	1954	TRUE	TRUE	1	2
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_colon_transverse_eQTL	deLange_IBD	1972	TRUE	TRUE	1	1
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_colon_transverse_eQTL	FinnGen_IBD	1972	TRUE	TRUE	1	2
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	GTEx_colon_transverse_eQTL	deLange_IBD	1972	TRUE	TRUE	1	1
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	GTEx_colon_transverse_eQTL	FinnGen_IBD	1972	TRUE	TRUE	1	2
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_small_intestine_eQTL	deLange_IBD	1892	TRUE	TRUE	1	1
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_small_intestine_eQTL	FinnGen_IBD	1892	TRUE	TRUE	1	2
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	GTEx_small_intestine_eQTL	deLange_IBD	1892	TRUE	TRUE	1	1
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	GTEx_small_intestine_eQTL	FinnGen_IBD	1892	TRUE	TRUE	1	2
block154__QTD000356__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_blood_eQTL	deLange_IBD	1959	TRUE	TRUE	1	1
block154__QTD000356__ENSG00000118197__ENSG00000118197	block154	DDX59	GTEx_blood_eQTL	FinnGen_IBD	1959	TRUE	TRUE	1	2
block154__QTD000356__ENSG00000170128__ENSG00000170128	block154	GPR25	GTEx_blood_eQTL	deLange_IBD	1959	TRUE	TRUE	1	1
block154__QTD000356__ENSG00000170128__ENSG00000170128	block154	GPR25	GTEx_blood_eQTL	FinnGen_IBD	1959	TRUE	TRUE	1	2
block154__QTD000021__ENSG00000118197__ENSG00000118197	block154	DDX59	BLUEPRINT_monocyte_eQTL	deLange_IBD	1891	TRUE	TRUE	1	1
block154__QTD000021__ENSG00000118197__ENSG00000118197	block154	DDX59	BLUEPRINT_monocyte_eQTL	FinnGen_IBD	1891	TRUE	TRUE	1	2
block154__QTD000021__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	BLUEPRINT_monocyte_eQTL	deLange_IBD	1891	TRUE	TRUE	1	1
block154__QTD000021__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	BLUEPRINT_monocyte_eQTL	FinnGen_IBD	1891	TRUE	TRUE	1	2
block154__QTD000031__ENSG00000118197__ENSG00000118197	block154	DDX59	BLUEPRINT_CD4_T_eQTL	deLange_IBD	1884	TRUE	TRUE	1	1
block154__QTD000031__ENSG00000118197__ENSG00000118197	block154	DDX59	BLUEPRINT_CD4_T_eQTL	FinnGen_IBD	1884	TRUE	TRUE	1	2
block154__QTD000031__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	BLUEPRINT_CD4_T_eQTL	deLange_IBD	1884	TRUE	TRUE	1	1
block154__QTD000031__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	BLUEPRINT_CD4_T_eQTL	FinnGen_IBD	1884	TRUE	TRUE	1	2
block464__QTD000146__ENSG00000173531__ENSG00000173531	block464	MST1	GTEx_amygdala_eQTL	Howard_DEP	1401	TRUE	TRUE	1	
block464__QTD000146__ENSG00000173531__ENSG00000173531	block464	MST1	GTEx_amygdala_eQTL	FinnGen_DEP	1401	TRUE	TRUE	1	
block464__QTD000146__ENSG00000173531__ENSG00000173531	block464	MST1	GTEx_amygdala_eQTL	deLange_IBD	1401	TRUE	TRUE	1	1
block464__QTD000146__ENSG00000173531__ENSG00000173531	block464	MST1	GTEx_amygdala_eQTL	FinnGen_IBD	1401	TRUE	TRUE	1	1
block464__QTD000146__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_amygdala_eQTL	Howard_DEP	1362	TRUE	TRUE	1	
block464__QTD000146__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_amygdala_eQTL	FinnGen_DEP	1362	TRUE	TRUE	1	
block464__QTD000146__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_amygdala_eQTL	deLange_IBD	1362	TRUE	TRUE	1	1
block464__QTD000146__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_amygdala_eQTL	FinnGen_IBD	1362	TRUE	TRUE	1	1
block464__QTD000150__ENSG00000173531__3:49684189:49684314:clu_44352_-	block464	MST1	GTEx_amygdala_sQTL	Howard_DEP	1403	TRUE	TRUE	1	
block464__QTD000150__ENSG00000173531__3:49684189:49684314:clu_44352_-	block464	MST1	GTEx_amygdala_sQTL	FinnGen_DEP	1403	TRUE	TRUE	1	
block464__QTD000150__ENSG00000173531__3:49684189:49684314:clu_44352_-	block464	MST1	GTEx_amygdala_sQTL	deLange_IBD	1403	TRUE	TRUE	1	1
block464__QTD000150__ENSG00000173531__3:49684189:49684314:clu_44352_-	block464	MST1	GTEx_amygdala_sQTL	FinnGen_IBD	1403	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000145020__ENSG00000145020	block464	AMT	GTEx_colon_sigmoid_eQTL	Howard_DEP	1753	TRUE	TRUE	1	
block464__QTD000226__ENSG00000145020__ENSG00000145020	block464	AMT	GTEx_colon_sigmoid_eQTL	FinnGen_DEP	1753	TRUE	TRUE	1	
block464__QTD000226__ENSG00000145020__ENSG00000145020	block464	AMT	GTEx_colon_sigmoid_eQTL	deLange_IBD	1753	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000145020__ENSG00000145020	block464	AMT	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1753	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000164068__ENSG00000164068	block464	RNF123	GTEx_colon_sigmoid_eQTL	Howard_DEP	1539	TRUE	TRUE	1	
block464__QTD000226__ENSG00000164068__ENSG00000164068	block464	RNF123	GTEx_colon_sigmoid_eQTL	FinnGen_DEP	1539	TRUE	TRUE	1	
block464__QTD000226__ENSG00000164068__ENSG00000164068	block464	RNF123	GTEx_colon_sigmoid_eQTL	deLange_IBD	1539	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000164068__ENSG00000164068	block464	RNF123	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1539	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000173421__ENSG00000173421	block464	CCDC36	GTEx_colon_sigmoid_eQTL	Howard_DEP	1927	TRUE	TRUE	1	
block464__QTD000226__ENSG00000173421__ENSG00000173421	block464	CCDC36	GTEx_colon_sigmoid_eQTL	FinnGen_DEP	1927	TRUE	TRUE	1	
block464__QTD000226__ENSG00000173421__ENSG00000173421	block464	CCDC36	GTEx_colon_sigmoid_eQTL	deLange_IBD	1927	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000173421__ENSG00000173421	block464	CCDC36	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1927	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_colon_sigmoid_eQTL	Howard_DEP	1495	TRUE	TRUE	1	
block464__QTD000226__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_colon_sigmoid_eQTL	FinnGen_DEP	1495	TRUE	TRUE	1	
block464__QTD000226__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_colon_sigmoid_eQTL	deLange_IBD	1495	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1495	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000188315__ENSG00000188315	block464	C3orf62	GTEx_colon_sigmoid_eQTL	Howard_DEP	1931	TRUE	TRUE	1	
block464__QTD000226__ENSG00000188315__ENSG00000188315	block464	C3orf62	GTEx_colon_sigmoid_eQTL	FinnGen_DEP	1931	TRUE	TRUE	1	
block464__QTD000226__ENSG00000188315__ENSG00000188315	block464	C3orf62	GTEx_colon_sigmoid_eQTL	deLange_IBD	1931	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000188315__ENSG00000188315	block464	C3orf62	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1931	TRUE	TRUE	1	1
