locus	trait	ridge	converged	n_credible_sets	max_pip	mismatch_s	min_cs_purity	median_cs_size	status	message
block154	Howard_DEP	0	TRUE	0	0.00352407953000433	0.0197844531574662			ok	
block154	FinnGen_DEP	0	TRUE	0	0.0233228231764017	0.0231621404320891			ok	
block154	deLange_IBD	0	TRUE	1	0.224125776827552	0.0412891366576943	0.994911490970461	6	ok	
block154	FinnGen_IBD	0	TRUE	2	0.212951874984362	0.0540981405847183	0.686528387674051	14.5	ok	
block154	Howard_DEP	1e-04	TRUE	0	0.00352407953000433	0.0196864218450075			ok	
block154	FinnGen_DEP	1e-04	TRUE	0	0.0233260448179207	0.0230644472761597			ok	
block154	deLange_IBD	1e-04	TRUE	1	0.224121627787529	0.0411932559759275	0.994811999821364	6	ok	
block154	FinnGen_IBD	1e-04	TRUE	2	0.212944629104902	0.0540035409446669	0.686459734835284	14.5	ok	
block464	Howard_DEP	0	TRUE	0	0.151054653477437	0.0252176407589674			ok	
block464	FinnGen_DEP	0	TRUE	1	0.0441267334787995	0.0453907818263215	0.65348849758546	101	ok	
block464	deLange_IBD	0	TRUE	1	0.140059939406787	0.0910164481662018	0.990231537601312	12	ok	
block464	FinnGen_IBD	0	TRUE	2	0.897232803856209	0.0906057504591355	0.981541055632716	9	ok	
block464	Howard_DEP	1e-04	TRUE	0	0.151126784773596	0.025120152694252			ok	
block464	FinnGen_DEP	1e-04	TRUE	1	0.0441259897574222	0.0452953112198689	0.653423148735702	101	ok	
block464	deLange_IBD	1e-04	TRUE	1	0.140054319816207	0.0909255398502989	0.990132514447551	12	ok	
block464	FinnGen_IBD	1e-04	TRUE	2	0.897240894558129	0.0905147956289591	0.981442901527153	9	ok	
block1671	Howard_DEP	0	TRUE	1	0.966326264320946	0.038612679452317	1	1	ok	
block1671	FinnGen_DEP	0	TRUE	1	0.0451290210389717	0.0539283047528401	0.763138810140341	39	ok	
block1671	deLange_IBD	0	TRUE	0	0.0797747418758386	0.0569969447948414			ok	
block1671	FinnGen_IBD	0	TRUE	0	0.0595246123457616	0.0627624136306692			ok	
block1671	Howard_DEP	1e-04	TRUE	1	0.966325275402003	0.0385165312814444	1	1	ok	
block1671	FinnGen_DEP	1e-04	TRUE	1	0.0451297734299846	0.0538336918153012	0.763062496259327	39	ok	
block1671	deLange_IBD	1e-04	TRUE	0	0.0797811825200002	0.0569026348698404			ok	
block1671	FinnGen_IBD	1e-04	TRUE	0	0.0595222259993503	0.0626686818034364			ok	
