metric	value
primary_replicated_non_MHC_blocks	3
primary_replication_decision	GO
exploratory_same_block_p_lt_1e6	18
exploratory_same_block_same_sign	11
External_Howard_deLange_gws_loci	28
External_Howard_deLange_loci_p_lt_1e6	55
External_Howard_deLange_minimum_p	2.08632556697911e-17
FinnGen_DEP_IBD_gws_loci	23
FinnGen_DEP_IBD_loci_p_lt_1e6	42
FinnGen_DEP_IBD_minimum_p	1.08712554980041e-24
Diagonal_Howard_FinnGenIBD_gws_loci	21
Diagonal_Howard_FinnGenIBD_loci_p_lt_1e6	45
Diagonal_Howard_FinnGenIBD_minimum_p	3.49656572839927e-13
Diagonal_FinnGenDEP_deLange_gws_loci	38
Diagonal_FinnGenDEP_deLange_loci_p_lt_1e6	60
Diagonal_FinnGenDEP_deLange_minimum_p	2.09729847739496e-24
