trait	rows_including_header	bytes	sha256
MDD_Howard2019	9997232	67039876	aca6012214938f823f0dd4056e1e850899107c2f556088faeea078532b41fc0c
DEP_FinnGen_R12	9997232	68159212	b2e462d96ab0b1fe5cb27605f92a3499a357a6ef125c28e8c0a1ac9a047f6d6f
UKB_LifetimeMDD	9997232	80687365	03f6beaf2fe5b46cc34740de93d5705522243530a0943f9fb53519287325a51e
UKB_MDDRecur	9997232	80466019	6b8f28dd9fb08e16686719589c9ded5747a7036edf71c6fb1e502070ca15d514
UKB_GPpsy	9997232	83455039	72d99837822ca29693ad0d18eb0619484d9a77c8b72be67167d55862bf7a5014
UKB_ICD10Dep	9997232	82629170	39b0b7c107c319eca171c607c6d086d14dfef335c37e7168a480a9b0c91c729a
IBD_deLange2017	9997232	70899341	3edc165150571dfe1395a147ed0f7a4e392e2900608e8d29f510b6e5177b3dbc
CD_deLange2017	9997232	70743311	63d184a16afe20bee10bb114bd2ee87a1b024a0c6d0bf8c545c8f7420aacddf6
UC_deLange2017	9997232	70755423	7697b55594f80049380fbf7220cd694df85a134653a296b2328a39f813bcc42c
IBD_FinnGen_R12	9997232	68001917	9059c0b7662bf63815e7007e0b7177b85398a22715707c2594859bf3fcdb592a
CD_FinnGen_R12	9997232	67817265	4e6e519b23215c7b2b9456635eab104cf605c71f80a739e99eb2d881c0ab57b0
UC_FinnGen_R12	9997232	67949374	8bb35bfc2cfdecf9c7ecf8fa191d24a417748aad2e0e1e94211bc4f61e51a2c8
