pair_class	trait1	trait2	depression_cohort	ibd_cohort	ibd_subtype	overlap_class	primary_extension
cross_disease	MDD_Howard2019	IBD_deLange2017	Howard_2019	IIBDGC_deLange2017	IBD	meta_components_not_individually_auditable	0
cross_disease	MDD_Howard2019	CD_deLange2017	Howard_2019	IIBDGC_deLange2017	CD	meta_components_not_individually_auditable	0
cross_disease	MDD_Howard2019	UC_deLange2017	Howard_2019	IIBDGC_deLange2017	UC	meta_components_not_individually_auditable	0
cross_disease	MDD_Howard2019	IBD_FinnGen_R12	Howard_2019	FinnGen_R12	IBD	no_known_overlap	0
cross_disease	MDD_Howard2019	CD_FinnGen_R12	Howard_2019	FinnGen_R12	CD	no_known_overlap	0
cross_disease	MDD_Howard2019	UC_FinnGen_R12	Howard_2019	FinnGen_R12	UC	no_known_overlap	0
cross_disease	DEP_FinnGen_R12	IBD_deLange2017	FinnGen_R12	IIBDGC_deLange2017	IBD	no_known_overlap	0
cross_disease	DEP_FinnGen_R12	CD_deLange2017	FinnGen_R12	IIBDGC_deLange2017	CD	no_known_overlap	0
cross_disease	DEP_FinnGen_R12	UC_deLange2017	FinnGen_R12	IIBDGC_deLange2017	UC	no_known_overlap	0
cross_disease	DEP_FinnGen_R12	IBD_FinnGen_R12	FinnGen_R12	FinnGen_R12	IBD	expected_participant_and_control_overlap	0
cross_disease	DEP_FinnGen_R12	CD_FinnGen_R12	FinnGen_R12	FinnGen_R12	CD	expected_participant_and_control_overlap	0
cross_disease	DEP_FinnGen_R12	UC_FinnGen_R12	FinnGen_R12	FinnGen_R12	UC	expected_participant_and_control_overlap	0
cross_disease	UKB_LifetimeMDD	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_LifetimeMDD	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_LifetimeMDD	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_LifetimeMDD	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1
cross_disease	UKB_LifetimeMDD	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1
cross_disease	UKB_LifetimeMDD	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1
cross_disease	UKB_MDDRecur	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_MDDRecur	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_MDDRecur	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_MDDRecur	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1
cross_disease	UKB_MDDRecur	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1
cross_disease	UKB_MDDRecur	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1
cross_disease	UKB_GPpsy	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_GPpsy	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_GPpsy	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_GPpsy	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1
cross_disease	UKB_GPpsy	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1
cross_disease	UKB_GPpsy	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1
cross_disease	UKB_ICD10Dep	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_ICD10Dep	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_ICD10Dep	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1
cross_disease	UKB_ICD10Dep	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1
cross_disease	UKB_ICD10Dep	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1
cross_disease	UKB_ICD10Dep	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1
within_depression_ukb	UKB_LifetimeMDD	UKB_MDDRecur	UK_Biobank_Cai2020	NA	NA	expected_overlap	0
within_depression_ukb	UKB_LifetimeMDD	UKB_GPpsy	UK_Biobank_Cai2020	NA	NA	expected_overlap	0
within_depression_ukb	UKB_LifetimeMDD	UKB_ICD10Dep	UK_Biobank_Cai2020	NA	NA	expected_overlap	0
within_depression_ukb	UKB_MDDRecur	UKB_GPpsy	UK_Biobank_Cai2020	NA	NA	expected_overlap	0
within_depression_ukb	UKB_MDDRecur	UKB_ICD10Dep	UK_Biobank_Cai2020	NA	NA	expected_overlap	0
within_depression_ukb	UKB_GPpsy	UKB_ICD10Dep	UK_Biobank_Cai2020	NA	NA	expected_overlap	0
within_ibd_cohort	IBD_deLange2017	CD_deLange2017	NA	IIBDGC_deLange2017	NA	expected_overlap	0
within_ibd_cohort	IBD_deLange2017	UC_deLange2017	NA	IIBDGC_deLange2017	NA	expected_overlap	0
within_ibd_cohort	CD_deLange2017	UC_deLange2017	NA	IIBDGC_deLange2017	NA	expected_overlap	0
within_ibd_cohort	IBD_FinnGen_R12	CD_FinnGen_R12	NA	FinnGen_R12	NA	expected_overlap	0
within_ibd_cohort	IBD_FinnGen_R12	UC_FinnGen_R12	NA	FinnGen_R12	NA	expected_overlap	0
within_ibd_cohort	CD_FinnGen_R12	UC_FinnGen_R12	NA	FinnGen_R12	NA	expected_overlap	0
within_ibd_cross_cohort	IBD_deLange2017	IBD_FinnGen_R12	NA	mixed	IBD	no_known_overlap	0
within_ibd_cross_cohort	CD_deLange2017	CD_FinnGen_R12	NA	mixed	CD	no_known_overlap	0
within_ibd_cross_cohort	UC_deLange2017	UC_FinnGen_R12	NA	mixed	UC	no_known_overlap	0
