pair_class	trait1	trait2	rg	se	z	p	gcov_intercept	gcov_intercept_se	gcov_intercept_z	fdr_within_pair_class
cross_disease	DEP_FinnGen_R12	CD_FinnGen_R12	0.1811	0.0749	2.417890520694259	0.0157	0.0148	0.0058	2.5517241379310347	0.028960000000000003
cross_disease	DEP_FinnGen_R12	IBD_FinnGen_R12	0.0807	0.0508	1.5885826771653542	0.1122	0.0215	0.0072	2.986111111111111	0.12822857142857141
cross_disease	DEP_FinnGen_R12	IBD_deLange2017	0.0829	0.0351	2.3618233618233617	0.0181	0.0026	0.0066	0.3939393939393939	0.028960000000000003
cross_disease	DEP_FinnGen_R12	UC_FinnGen_R12	0.0206	0.0546	0.3772893772893773	0.7058	0.0173	0.0067	2.5820895522388057	0.7058
cross_disease	MDD_Howard2019	CD_FinnGen_R12	0.1632	0.0532	3.067669172932331	0.0021	-0.0057	0.0052	-1.0961538461538463	0.0056
cross_disease	MDD_Howard2019	IBD_FinnGen_R12	0.1205	0.0336	3.5863095238095237	0.0003	-0.0116	0.0058	-2.0	0.0012
cross_disease	MDD_Howard2019	IBD_deLange2017	0.1242	0.0291	4.268041237113402	1.9345e-05	0.0074	0.0056	1.3214285714285714	0.00015476
cross_disease	MDD_Howard2019	UC_FinnGen_R12	0.078	0.0389	2.0051413881748075	0.0449	-0.0069	0.0056	-1.2321428571428572	0.05986666666666667
within_IBD	CD_FinnGen_R12	UC_FinnGen_R12	0.6079	0.0966	6.292960662525879	3.0791e-10	0.0601	0.0084	7.154761904761905	3.0791e-10
within_IBD	IBD_FinnGen_R12	CD_FinnGen_R12	0.8015	0.0554	14.467509025270758	1.9014e-47	0.5497	0.0102	53.89215686274509	2.8521e-47
within_IBD	IBD_FinnGen_R12	UC_FinnGen_R12	0.9723	0.0137	70.97080291970804	0.0	0.942	0.0184	51.19565217391304	0.0
within_IBD	IBD_deLange2017	CD_FinnGen_R12	0.8031	0.0969	8.287925696594428	1.1739e-16	0.0311	0.0072	4.319444444444445	1.4086799999999997e-16
within_IBD	IBD_deLange2017	IBD_FinnGen_R12	0.8718	0.0411	21.21167883211679	7.3157e-100	0.072	0.0117	6.153846153846153	2.19471e-99
within_IBD	IBD_deLange2017	UC_FinnGen_R12	0.7721	0.0503	15.349900596421472	2.922e-53	0.0663	0.0107	6.196261682242991	5.8439999999999995e-53
within_depression	MDD_Howard2019	DEP_FinnGen_R12	0.8083	0.0236	34.25	1.1099e-257	0.0431	0.0082	5.2560975609756095	1.1099e-257
