depression_definition	ibd_trait	ibd_cohort	ibd_subtype	parameter_index	rg
UKB_LifetimeMDD	IBD_deLange2017	deLange2017	IBD	28	0.127867942656642
UKB_MDDRecur	IBD_deLange2017	deLange2017	IBD	37	0.143831918297492
UKB_GPpsy	IBD_deLange2017	deLange2017	IBD	45	0.123445769513784
UKB_ICD10Dep	IBD_deLange2017	deLange2017	IBD	52	0.175438014634359
UKB_LifetimeMDD	CD_deLange2017	deLange2017	CD	29	0.161075017413001
UKB_MDDRecur	CD_deLange2017	deLange2017	CD	38	0.164124502638827
UKB_GPpsy	CD_deLange2017	deLange2017	CD	46	0.123458677598715
UKB_ICD10Dep	CD_deLange2017	deLange2017	CD	53	0.205887862987777
UKB_LifetimeMDD	UC_deLange2017	deLange2017	UC	30	0.0682945265524053
UKB_MDDRecur	UC_deLange2017	deLange2017	UC	39	0.0893820860679459
UKB_GPpsy	UC_deLange2017	deLange2017	UC	47	0.0969807407000094
UKB_ICD10Dep	UC_deLange2017	deLange2017	UC	54	0.0841744880126277
UKB_LifetimeMDD	IBD_FinnGen_R12	FinnGen_R12	IBD	31	0.224103602709999
UKB_MDDRecur	IBD_FinnGen_R12	FinnGen_R12	IBD	40	0.212596179937557
UKB_GPpsy	IBD_FinnGen_R12	FinnGen_R12	IBD	48	0.116669705378075
UKB_ICD10Dep	IBD_FinnGen_R12	FinnGen_R12	IBD	55	0.135784733753621
UKB_LifetimeMDD	CD_FinnGen_R12	FinnGen_R12	CD	32	0.150676589461925
UKB_MDDRecur	CD_FinnGen_R12	FinnGen_R12	CD	41	0.180314159665504
UKB_GPpsy	CD_FinnGen_R12	FinnGen_R12	CD	49	0.104837836626948
UKB_ICD10Dep	CD_FinnGen_R12	FinnGen_R12	CD	56	0.0448172197342189
UKB_LifetimeMDD	UC_FinnGen_R12	FinnGen_R12	UC	33	0.222027708561013
UKB_MDDRecur	UC_FinnGen_R12	FinnGen_R12	UC	42	0.202617676540934
UKB_GPpsy	UC_FinnGen_R12	FinnGen_R12	UC	50	0.0944658088449993
UKB_ICD10Dep	UC_FinnGen_R12	FinnGen_R12	UC	57	0.105127065043888
