trait	h2_obs	h2_se	h2_z	intercept	intercept_se	ratio	ratio_se	mean_chisq	n_valid_snps	passes_h2_z4
CD_FinnGen_R12	0.005	0.0012	4.166666666666667	1.0499	0.0082	0.4377	0.0715	1.114	1154083	1
CD_deLange2017	0.3027	0.0355	8.526760563380282	1.1474	0.0098	0.3296	0.022	1.4471	1147593	1
DEP_FinnGen_R12	0.0308	0.0019	16.210526315789473	1.1737	0.0111	0.3352	0.0215	1.5184	1154104	1
IBD_FinnGen_R12	0.0177	0.0022	8.045454545454545	1.151	0.0146	0.4137	0.0401	1.365	1154085	1
IBD_deLange2017	0.2174	0.0226	9.619469026548673	1.1794	0.01	0.3612	0.0202	1.4966	1145420	1
MDD_Howard2019	0.0297	0.0013	22.846153846153847	1.0594	0.0101	0.1009	0.0171	1.5885	1148943	1
UC_FinnGen_R12	0.0137	0.0018	7.611111111111112	1.1102	0.0136	0.3999	0.0494	1.2755	1154086	1
UC_deLange2017	0.1662	0.0202	8.227722772277227	1.1222	0.0088	0.3959	0.0285	1.3087	1147713	1
UKB_GPpsy	0.0447	0.0026	17.192307692307693	1.0569	0.0093	0.1476	0.0242	1.3853	1150575	1
UKB_ICD10Dep	0.0149	0.0019	7.842105263157895	0.9941	0.006	nan	nan	1.0636	1150575	1
UKB_LifetimeMDD	0.0582	0.0078	7.461538461538462	1.0249	0.0068	0.2166	0.0594	1.1151	1150575	1
UKB_MDDRecur	0.0597	0.008	7.4625	1.0208	0.0068	0.2058	0.0673	1.1011	1150575	1
