depression_definition	ibd_trait	ibd_cohort	ibd_subtype	parameter_index	rg_genomicsem	rg_pairwise	se_pairwise	p_pairwise	gcov_intercept	gcov_intercept_se	gcov_intercept_z	gcov_intercept_flag	fdr_sensitivity_18
UKB_LifetimeMDD	IBD_deLange2017	deLange2017	IBD	28	0.127867942656642	0.1367	0.0599	0.0226	-7e-04	0.0056	-0.125	0	0.0452
UKB_MDDRecur	IBD_deLange2017	deLange2017	IBD	37	0.143831918297492	0.1467	0.0614	0.0169	-0.0035	0.0054	-0.648148148148148	0	0.038025
UKB_GPpsy	IBD_deLange2017	deLange2017	IBD	45	0.123445769513784	0.1245	0.0351	4e-04	-0.0039	0.0058	-0.672413793103448	0	0.0036
UKB_ICD10Dep	IBD_deLange2017	deLange2017	IBD	52	0.175438014634359	0.1674	0.0609	0.006	-0.0059	0.0049	-1.20408163265306	0	0.0204
UKB_LifetimeMDD	CD_deLange2017	deLange2017	CD	29	0.161075017413001	0.1626	0.059	0.0059	-0.0033	0.0053	-0.622641509433962	0	0.0204
UKB_MDDRecur	CD_deLange2017	deLange2017	CD	38	0.164124502638827	0.1615	0.0596	0.0068	-0.0074	0.0054	-1.37037037037037	0	0.0204
UKB_GPpsy	CD_deLange2017	deLange2017	CD	46	0.123458677598715	0.1215	0.0355	6e-04	-0.004	0.0057	-0.701754385964912	0	0.0036
UKB_ICD10Dep	CD_deLange2017	deLange2017	CD	53	0.205887862987777	0.2022	0.0585	5e-04	-0.0083	0.0051	-1.62745098039216	0	0.0036
UKB_LifetimeMDD	UC_deLange2017	deLange2017	UC	30	0.0682945265524053	0.0797	0.0691	0.2486	0.0035	0.005	0.7	0	0.271905882352941
UKB_MDDRecur	UC_deLange2017	deLange2017	UC	39	0.0893820860679459	0.1048	0.0751	0.1627	0.0032	0.0049	0.653061224489796	0	0.19524
UKB_GPpsy	UC_deLange2017	deLange2017	UC	47	0.0969807407000094	0.1068	0.0426	0.0121	-0.0025	0.0054	-0.462962962962963	0	0.0311142857142857
UKB_ICD10Dep	UC_deLange2017	deLange2017	UC	54	0.0841744880126277	0.0869	0.0766	0.2568	-2.6649e-05	0.0046	-0.00579326086956522	0	0.271905882352941
UKB_ICD10Dep	IBD_FinnGen_R12	FinnGen_R12	IBD	55	0.135784733753621	0.1408	0.0673	0.0363	-5.1885e-05	0.0049	-0.0105887755102041	0	0.06534
UKB_LifetimeMDD	CD_FinnGen_R12	FinnGen_R12	CD	32	0.150676589461925	0.1543	0.0938	0.1	-0.0054	0.0043	-1.25581395348837	0	0.138461538461538
UKB_MDDRecur	CD_FinnGen_R12	FinnGen_R12	CD	41	0.180314159665504	0.1911	0.0992	0.0542	-0.0057	0.0044	-1.29545454545455	0	0.08415
UKB_GPpsy	CD_FinnGen_R12	FinnGen_R12	CD	49	0.104837836626948	0.1108	0.058	0.0561	-6.736e-05	0.005	-0.013472	0	0.08415
UKB_ICD10Dep	CD_FinnGen_R12	FinnGen_R12	CD	56	0.0448172197342189	0.0451	0.11	0.6817	0.0045	0.0047	0.957446808510638	0	0.6817
UKB_ICD10Dep	UC_FinnGen_R12	FinnGen_R12	UC	57	0.105127065043888	0.1072	0.067	0.1099	0.0017	0.0044	0.386363636363636	0	0.1413
