locus	pair_type	trait1	trait2	ridge	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	idx1	idx2	trait1_top_snp	trait2_top_snp	status	message
block154	external_disease_pair	Howard_DEP	deLange_IBD	0	1e-05											not_estimable	no_signal_pair
block154	external_disease_pair	Howard_DEP	deLange_IBD	0	1e-06											not_estimable	no_signal_pair
block154	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	0	1e-05											not_estimable	no_signal_pair
block154	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	0	1e-06											not_estimable	no_signal_pair
block154	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	0	1e-05											not_estimable	no_signal_pair
block154	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	0	1e-06											not_estimable	no_signal_pair
block154	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	0	1e-05											not_estimable	no_signal_pair
block154	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	0	1e-06											not_estimable	no_signal_pair
block154	depression_cross_cohort	Howard_DEP	FinnGen_DEP	0	1e-05											not_estimable	no_signal_pair
block154	depression_cross_cohort	Howard_DEP	FinnGen_DEP	0	1e-06											not_estimable	no_signal_pair
block154	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-05	2090	5.40944720594613e-26	2.05948121109227e-11	3.37315863061585e-17	0.0118541216534672	0.988145878325935	1	1	rs7554511	rs11579874	ok	
block154	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-05	2090	5.97077780495469e-17	0.0227319063053138	2.56407016093776e-15	0.976190040804701	0.00107805288998302	1	2	rs7554511	rs7533782	ok	
block154	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-06	2090	4.88796447528902e-25	1.86094264609493e-10	3.04797864333368e-16	0.107113579857496	0.89288641995641	1	1	rs7554511	rs11579874	ok	
block154	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-06	2090	5.97657656402803e-17	0.0227539833030264	2.5665603599698e-15	0.977138106708565	0.000107909988405675	1	2	rs7554511	rs7533782	ok	
block154	external_disease_pair	Howard_DEP	deLange_IBD	1e-04	1e-05											not_estimable	no_signal_pair
block154	external_disease_pair	Howard_DEP	deLange_IBD	1e-04	1e-06											not_estimable	no_signal_pair
block154	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	1e-04	1e-05											not_estimable	no_signal_pair
