locus	gene_id	gene_symbol	gene_type	gene_start37	gene_end37	min_distance_bp	n_support_variants	overlaps_any_variant
block154	ENSG00000163362	C1orf106	protein_coding	200860176	200884863	0	26	True
block154	ENSG00000081248	CACNA1S	protein_coding	201008642	201081694	0	12	True
block154	ENSG00000118200	CAMSAP2	protein_coding	200708686	200829832	0	22	True
block154	ENSG00000116852	KIF21B	protein_coding	200938520	200992828	0	20	True
block154	ENSG00000233217	MROH3P	pseudogene	200890122	200935658	0	25	True
block154	ENSG00000201032	RNU6-704P	snRNA	200902473	200902575	32	24	False
block154	ENSG00000231333	RPL34P6	pseudogene	200832936	200833280	79	20	False
block154	ENSG00000170128	GPR25	protein_coding	200842083	200843306	9226	20	False
block154	ENSG00000229191	RP11-168O16.1	lincRNA	200993077	200997920	9588	13	False
block154	ENSG00000234132	RP11-168O16.2	antisense	201004224	201012201	13649	12	False
block154	ENSG00000260088	RP11-92G12.3	lincRNA	200638635	200663378	46418	4	False
block154	ENSG00000232237	ASCL5	protein_coding	201083081	201096312	57231	2	False
block154	ENSG00000118197	DDX59	protein_coding	200593024	200639097	70699	2	False
block154	ENSG00000116857	TMEM9	protein_coding	201103900	201140702	78050	1	False
block1671	ENSG00000134780	DAGLA	protein_coding	61447905	61514473	0	34	True
block1671	ENSG00000149485	FADS1	protein_coding	61567099	61596790	0	40	True
block1671	ENSG00000134824	FADS2	protein_coding	61560452	61634826	0	40	True
block1671	ENSG00000168496	FEN1	protein_coding	61560109	61564716	0	40	True
block1671	ENSG00000124920	MYRF	protein_coding	61520114	61555990	0	40	True
block1671	ENSG00000134825	TMEM258	protein_coding	61535973	61560274	0	40	True
block1671	ENSG00000207601	MIR611	miRNA	61559967	61560033	48	40	False
block1671	ENSG00000222326	MIR1908	miRNA	61582633	61582712	2432	39	False
block1671	ENSG00000221968	FADS3	protein_coding	61640991	61659523	16810	39	False
block1671	ENSG00000124915	RP11-467L20.10	lincRNA	61513965	61525127	18372	40	False
block1671	ENSG00000167994	RAB3IL1	protein_coding	61664773	61687741	40592	27	False
block1671	ENSG00000255947	RP11-855O10.3	lincRNA	61422137	61423174	48504	1	False
block1671	ENSG00000243742	RPLP0P2	pseudogene	61382508	61406921	64757	1	False
block1671	ENSG00000200898	RNU6-1243P	snRNA	61705366	61705472	81185	10	False
block1671	ENSG00000167995	BEST1	protein_coding	61717293	61732987	93112	6	False
block1671	ENSG00000250230	RP11-855O10.2	lincRNA	61355966	61375022	96656	1	False
block464	ENSG00000145020	AMT	protein_coding	49454211	49460186	0	48	True
block464	ENSG00000164062	APEH	protein_coding	49711435	49721396	0	35	True
block464	ENSG00000164061	BSN	protein_coding	49591922	49708978	0	63	True
block464	ENSG00000235120	BSN-AS1	antisense	49677916	49679202	0	40	True
block464	ENSG00000226913	BSN-AS2	lincRNA	49586739	49591799	0	48	True
block464	ENSG00000173402	DAG1	protein_coding	49506146	49573048	0	63	True
block464	ENSG00000233276	GPX1	protein_coding	49394609	49396033	0	31	True
block464	ENSG00000176095	IP6K1	protein_coding	49761727	49823975	0	33	True
block464	ENSG00000047849	MAP4	protein_coding	47892182	48130769	0	3	True
block464	ENSG00000173531	MST1	protein_coding	49721380	49726934	0	34	True
block464	ENSG00000145029	NICN1	protein_coding	49460379	49466759	0	49	True
block464	ENSG00000067560	RHOA	protein_coding	49396578	49450431	0	45	True
block464	ENSG00000164068	RNF123	protein_coding	49726932	49758962	0	35	True
block464	ENSG00000173473	SMARCC1	protein_coding	47626762	47823596	0	1	True
block464	ENSG00000145022	TCTA	protein_coding	49449639	49453908	0	45	True
block464	ENSG00000183763	TRAIP	protein_coding	49866034	49894007	0	9	True
block464	ENSG00000259970	AC099668.5	processed_transcript	49721913	49722416	115	33	False
block464	ENSG00000235908	RHOA-IT1	sense_intronic	49402578	49404439	725	31	False
block464	ENSG00000173540	GMPPB	protein_coding	49754277	49761384	1278	28	False
block464	ENSG00000176020	AMIGO3	protein_coding	49754267	49761349	1313	28	False
block464	ENSG00000235261	NICN1-AS1	antisense	49460379	49461864	1423	48	False
block464	ENSG00000263651	AC139451.1	miRNA	49856387	49856486	1656	10	False
block464	ENSG00000182179	UBA7	protein_coding	49842640	49851379	1694	12	False
block464	ENSG00000187492	CDHR4	protein_coding	49828165	49837268	2795	16	False
block464	ENSG00000266457	AC026318.1	miRNA	47810601	47810701	4067	1	False
block464	ENSG00000239576	RP13-480C15.1	pseudogene	49795916	49796089	6102	24	False
block464	ENSG00000224895	VPS26BP1	pseudogene	48001817	48002571	6700	2	False
block464	ENSG00000201301	RNA5SP130	rRNA	49504548	49504661	7927	50	False
block464	ENSG00000263506	MIR5193	miRNA	49843570	49843678	9395	12	False
block464	ENSG00000185614	FAM212A	protein_coding	49840687	49842463	10610	12	False
block464	ENSG00000114316	USP4	protein_coding	49315264	49378145	11697	29	False
block464	ENSG00000244730	RP13-1056D16.2	pseudogene	49812718	49813047	12323	19	False
block464	ENSG00000164076	CAMKV	protein_coding	49895421	49907655	25790	8	False
block464	ENSG00000264706	RN7SL217P	misc_RNA	49900819	49901093	31188	8	False
block464	ENSG00000199591	Y_RNA	misc_RNA	47973298	47973404	35867	2	False
block464	ENSG00000132153	DHX30	protein_coding	47844399	47891685	37865	1	False
block464	ENSG00000234667	ACTBP13	pseudogene	49910780	49915413	41149	8	False
block464	ENSG00000270285	RP11-1029M24.4	pseudogene	48080757	48080980	46706	2	False
block464	ENSG00000164078	MST1R	protein_coding	49924435	49941299	54804	8	False
block464	ENSG00000230698	CTD-2330K9.2	antisense	49936735	49941190	67104	7	False
block464	ENSG00000228008	CTD-2330K9.3	protein_coding	49941278	49954370	71647	7	False
block464	ENSG00000188315	C3orf62	protein_coding	49306035	49315342	74500	11	False
block464	ENSG00000164077	MON1A	protein_coding	49946302	49967606	76671	7	False
block464	ENSG00000264633	MIR4271	miRNA	49311553	49311619	78223	9	False
block464	ENSG00000199546	Y_RNA	misc_RNA	49307565	49307672	82170	8	False
block464	ENSG00000221585	MIR1226	miRNA	47891045	47891119	84511	1	False
block464	ENSG00000225399	RP11-3B7.1	protein_coding	49297518	49298744	91098	6	False
block464	ENSG00000173421	CCDC36	protein_coding	49235861	49295537	94305	4	False
