locus	chr	start	stop	pair1_rho	pair1_rho_lower	pair1_rho_upper	pair1_p	pair1_q	pair2_rho	pair2_rho_lower	pair2_rho_upper	pair2_p	pair2_q	replication_status
7	1	4773404	5362404	NA	NA	NA	NA	NA	-0.0735532	-0.40076	0.25026	0.642227	0.86152402439	eligible_in_one_pair_only
9	1	6136815	7711794	-0.0220006	-0.36333	0.30785	0.892831	0.968389150943	NA	NA	NA	NA	NA	eligible_in_one_pair_only
10	1	7711795	8580987	0.380065	0.09704	0.69636	0.0101767	0.0705863125	NA	NA	NA	NA	NA	eligible_in_one_pair_only
33	1	34371023	35201626	NA	NA	NA	NA	NA	0.400544	0.06924	0.78875	0.0209696	0.109840761905	eligible_in_one_pair_only
57	1	66778016	67761890	NA	NA	NA	NA	NA	-0.0428082	-0.25722	0.16237	0.681244	0.878907674419	eligible_in_one_pair_only
58	1	67761891	68633860	0.0174563	-0.24114	0.28542	0.893233	0.968389150943	NA	NA	NA	NA	NA	eligible_in_one_pair_only
59	1	68633861	69438909	0.25339	-0.12074	0.65144	0.172626	0.431565	NA	NA	NA	NA	NA	eligible_in_one_pair_only
119	1	161945443	163141862	-0.242316	-0.5812	0.07349	0.125641	0.374743947368	NA	NA	NA	NA	NA	eligible_in_one_pair_only
158	1	205009624	205917548	0.475565	0.1365	0.88015	0.00773905	0.0705863125	NA	NA	NA	NA	NA	eligible_in_one_pair_only
176	1	226534712	228045554	NA	NA	NA	NA	NA	-0.274841	-0.69257	0.07609	0.13932	0.392953846154	eligible_in_one_pair_only
184	1	234365797	235097113	NA	NA	NA	NA	NA	-0.0402721	-0.38917	0.29707	0.807713	0.935246631579	eligible_in_one_pair_only
205	2	2680064	3314202	NA	NA	NA	NA	NA	0.259135	-0.11174	0.66437	0.157819	0.41333547619	eligible_in_one_pair_only
230	2	26894103	28819510	NA	NA	NA	NA	NA	-0.172903	-0.50296	0.14006	0.267659	0.543652	eligible_in_one_pair_only
267	2	59251997	60775066	-0.515774	-0.8613	-0.21622	0.00106208	0.0389429333333	NA	NA	NA	NA	NA	eligible_in_one_pair_only
305	2	110097869	112644828	-0.0232422	-0.30622	0.25305	0.865765	0.961961111111	NA	NA	NA	NA	NA	eligible_in_one_pair_only
313	2	121073753	122026817	NA	NA	NA	NA	NA	-0.474241	-0.88231	-0.13754	0.0069655	0.069655	eligible_in_one_pair_only
347	2	161432090	163607635	0.360901	0.04295	0.71657	0.0278632	0.133258782609	NA	NA	NA	NA	NA	eligible_in_one_pair_only
349	2	164702313	165917788	NA	NA	NA	NA	NA	-0.484563	-0.90734	-0.1348	0.00864424	0.0705863125	eligible_in_one_pair_only
359	2	174118390	174927563	NA	NA	NA	NA	NA	-0.0608633	-0.4081	0.28515	0.721598	0.891862696629	eligible_in_one_pair_only
464	3	47588462	50387742	-0.0724366	-0.34771	0.1943	0.587205	0.828109615385	NA	NA	NA	NA	NA	eligible_in_one_pair_only
465	3	50387743	51953968	NA	NA	NA	NA	NA	-0.0617352	-0.36704	0.24176	0.679585	0.878907674419	eligible_in_one_pair_only
466	3	51953969	54074844	0.170206	-0.10819	0.45975	0.23005	0.508255	NA	NA	NA	NA	NA	eligible_in_one_pair_only
521	3	116498571	117241644	NA	NA	NA	NA	NA	-0.168614	-0.54113	0.18296	0.323181	0.612929482759	eligible_in_one_pair_only
555	3	153406719	155046423	NA	NA	NA	NA	NA	0.137147	-0.20935	0.4888	0.419441	0.682131029412	eligible_in_one_pair_only
584	3	186602046	187939199	NA	NA	NA	NA	NA	0.390019	0.07201	0.74665	0.0179184	0.109501333333	eligible_in_one_pair_only
593	3	195710291	196383152	NA	NA	NA	NA	NA	0.15923	-0.19613	0.54897	0.371671	0.638003384615	eligible_in_one_pair_only
734	4	149998529	151014322	NA	NA	NA	NA	NA	0.0938841	-0.29407	0.49335	0.618042	0.84980775	eligible_in_one_pair_only
767	4	183603893	184338584	NA	NA	NA	NA	NA	0.0290952	-0.30759	0.36505	0.860218	0.961961111111	eligible_in_one_pair_only
809	5	37925488	39438985	NA	NA	NA	NA	NA	-0.0104166	-0.25985	0.23653	0.933175	0.968389150943	eligible_in_one_pair_only
849	5	87943483	89584466	-0.0984985	-0.39235	0.19224	0.502639	0.748592533333	NA	NA	NA	NA	NA	eligible_in_one_pair_only
864	5	106389389	107265911	NA	NA	NA	NA	NA	0.240293	-0.06069	0.56103	0.117055	0.374743947368	eligible_in_one_pair_only
889	5	134556571	135344943	0.0254875	-0.25718	0.31429	0.854421	0.961961111111	NA	NA	NA	NA	NA	eligible_in_one_pair_only
896	5	145319097	147180171	-0.202664	-0.51108	0.10279	0.183275	0.448005555556	NA	NA	NA	NA	NA	eligible_in_one_pair_only
899	5	149850204	150981934	NA	NA	NA	NA	NA	0.226723	-0.03803	0.5173	0.103464	0.35102	eligible_in_one_pair_only
948	6	23939307	24950379	0.23401	-0.10304	0.60119	0.166591	0.426163023256	NA	NA	NA	NA	NA	eligible_in_one_pair_only
951	6	26396201	27261035	-0.011572	-0.28553	0.26128	0.93269	0.968389150943	NA	NA	NA	NA	NA	eligible_in_one_pair_only
952	6	27261036	28666364	-0.0111488	-0.25515	0.23928	0.927702	0.968389150943	NA	NA	NA	NA	NA	eligible_in_one_pair_only
953	6	28666365	29529755	-0.0459232	-0.33398	0.24018	0.748988	0.895529130435	NA	NA	NA	NA	NA	eligible_in_one_pair_only
