phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	pair_id	q_global_primary	passes_q05
MDD_Howard2019	IBD_FinnGen_R12	-0.0220006	-0.36333	0.30785	0.000484028	0	0.15654	0.892831	9	1	6136815	7711794	HowardMDD__FinnGenIBD	0.968389150943	false
MDD_Howard2019	IBD_FinnGen_R12	0.380065	0.09704	0.69636	0.144449	0.00985	0.48491	0.0101767	10	1	7711795	8580987	HowardMDD__FinnGenIBD	0.0705863125	false
MDD_Howard2019	IBD_FinnGen_R12	0.0174563	-0.24114	0.28542	0.000304724	0	0.09297	0.893233	58	1	67761891	68633860	HowardMDD__FinnGenIBD	0.968389150943	false
MDD_Howard2019	IBD_FinnGen_R12	0.25339	-0.12074	0.65144	0.0642063	0	0.42437	0.172626	59	1	68633861	69438909	HowardMDD__FinnGenIBD	0.431565	false
MDD_Howard2019	IBD_FinnGen_R12	-0.242316	-0.5812	0.07349	0.0587169	0	0.33784	0.125641	119	1	161945443	163141862	HowardMDD__FinnGenIBD	0.374743947368	false
MDD_Howard2019	IBD_FinnGen_R12	0.475565	0.1365	0.88015	0.226162	0.01897	0.77467	0.00773905	158	1	205009624	205917548	HowardMDD__FinnGenIBD	0.0705863125	false
MDD_Howard2019	IBD_FinnGen_R12	-0.515774	-0.8613	-0.21622	0.266023	0.04675	0.74184	0.00106208	267	2	59251997	60775066	HowardMDD__FinnGenIBD	0.0389429333333	true
MDD_Howard2019	IBD_FinnGen_R12	-0.0232422	-0.30622	0.25305	0.0005402	0	0.1066	0.865765	305	2	110097869	112644828	HowardMDD__FinnGenIBD	0.961961111111	false
MDD_Howard2019	IBD_FinnGen_R12	0.360901	0.04295	0.71657	0.13025	0.00342	0.51347	0.0278632	347	2	161432090	163607635	HowardMDD__FinnGenIBD	0.133258782609	false
MDD_Howard2019	IBD_FinnGen_R12	-0.0724366	-0.34771	0.1943	0.00524706	0	0.12373	0.587205	464	3	47588462	50387742	HowardMDD__FinnGenIBD	0.828109615385	false
MDD_Howard2019	IBD_FinnGen_R12	0.170206	-0.10819	0.45975	0.0289699	0	0.21137	0.23005	466	3	51953969	54074844	HowardMDD__FinnGenIBD	0.508255	false
MDD_Howard2019	IBD_FinnGen_R12	-0.0984985	-0.39235	0.19224	0.00970195	0	0.1558	0.502639	849	5	87943483	89584466	HowardMDD__FinnGenIBD	0.748592533333	false
MDD_Howard2019	IBD_FinnGen_R12	0.0254875	-0.25718	0.31429	0.000649613	0	0.11125	0.854421	889	5	134556571	135344943	HowardMDD__FinnGenIBD	0.961961111111	false
MDD_Howard2019	IBD_FinnGen_R12	-0.202664	-0.51108	0.10279	0.0410726	0	0.2612	0.183275	896	5	145319097	147180171	HowardMDD__FinnGenIBD	0.448005555556	false
MDD_Howard2019	IBD_FinnGen_R12	0.23401	-0.10304	0.60119	0.0547606	0	0.36143	0.166591	948	6	23939307	24950379	HowardMDD__FinnGenIBD	0.426163023256	false
MDD_Howard2019	IBD_FinnGen_R12	-0.011572	-0.28553	0.26128	0.000133912	0	0.09648	0.93269	951	6	26396201	27261035	HowardMDD__FinnGenIBD	0.968389150943	false
MDD_Howard2019	IBD_FinnGen_R12	-0.0111488	-0.25515	0.23928	0.000124296	0	0.0797	0.927702	952	6	27261036	28666364	HowardMDD__FinnGenIBD	0.968389150943	false
MDD_Howard2019	IBD_FinnGen_R12	-0.0459232	-0.33398	0.24018	0.00210894	0	0.11702	0.748988	953	6	28666365	29529755	HowardMDD__FinnGenIBD	0.895529130435	false
MDD_Howard2019	IBD_FinnGen_R12	-0.156412	-0.43566	0.12157	0.0244647	0	0.18993	0.265077	954	6	29529756	29833843	HowardMDD__FinnGenIBD	0.543652	false
MDD_Howard2019	IBD_FinnGen_R12	-0.293851	-0.64109	0.04467	0.0863482	0	0.411	0.0806341	956	6	30070718	30715006	HowardMDD__FinnGenIBD	0.3020479	false
MDD_Howard2019	IBD_FinnGen_R12	0.196119	-0.03899	0.43598	0.0384625	0	0.19008	0.105306	957	6	30715007	31106493	HowardMDD__FinnGenIBD	0.35102	false
MDD_Howard2019	IBD_FinnGen_R12	0.118767	-0.13994	0.37759	0.0141056	0	0.14258	0.356404	960	6	31320269	31427209	HowardMDD__FinnGenIBD	0.632329677419	false
MDD_Howard2019	IBD_FinnGen_R12	0.216483	-0.02385	0.46746	0.0468649	0	0.21852	0.0823767	961	6	31427210	32208901	HowardMDD__FinnGenIBD	0.3020479	false
MDD_Howard2019	IBD_FinnGen_R12	0.107452	-0.2155	0.44359	0.011546	0	0.19994	0.509242	966	6	32629240	32682213	HowardMDD__FinnGenIBD	0.748592533333	false
