pair_id	locus	chr	start	stop	rho	rho_lower	rho_upper	se_approx_from_95ci	mde_abs_rho_80pct_nominal_alpha_0_05	mde_abs_rho_80pct_bonferroni_family	bonferroni_family_alpha	n_eligible_tests
HowardMDD__FinnGenIBD	9	1	6136815	7711794	-0.0220006	-0.36333	0.30785	0.17121938775510204	0.47968570578904635	0.7444320989694908	0.00045454545454545455	110
HowardMDD__FinnGenIBD	10	1	7711795	8580987	0.380065	0.09704	0.69636	0.1528877551020408	0.428328074724353	0.6647293506278423	0.00045454545454545455	110
HowardMDD__FinnGenIBD	58	1	67761891	68633860	0.0174563	-0.24114	0.28542	0.13432653061224492	0.37632722256366447	0.5840283769381912	0.00045454545454545455	110
HowardMDD__FinnGenIBD	59	1	68633861	69438909	0.25339	-0.12074	0.65144	0.19698469387755102	0.551869406561855	0.8564551658009198	0.00045454545454545455	110
HowardMDD__FinnGenIBD	119	1	161945443	163141862	-0.242316	-0.5812	0.07349	0.1670127551020408	0.4679004659301987	0.7261423923155277	0.00045454545454545455	110
HowardMDD__FinnGenIBD	158	1	205009624	205917548	0.475565	0.1365	0.88015	0.1897066326530612	0.5314792978188031	0.82481142226923	0.00045454545454545455	110
HowardMDD__FinnGenIBD	267	2	59251997	60775066	-0.515774	-0.8613	-0.21622	0.1645612244897959	0.4610322940051819	0.7154835638774085	0.00045454545454545455	110
HowardMDD__FinnGenIBD	305	2	110097869	112644828	-0.0232422	-0.30622	0.25305	0.14267091836734694	0.3997047359525611	0.6203083226417162	0.00045454545454545455	110
HowardMDD__FinnGenIBD	347	2	161432090	163607635	0.360901	0.04295	0.71657	0.1718418367346939	0.4814295496493004	0.7471383988018541	0.00045454545454545455	110
HowardMDD__FinnGenIBD	464	3	47588462	50387742	-0.0724366	-0.34771	0.1943	0.13826785714285714	0.3873691847115841	0.601164578745573	0.00045454545454545455	110
HowardMDD__FinnGenIBD	466	3	51953969	54074844	0.170206	-0.10819	0.45975	0.1448826530612245	0.4059010991773161	0.6299245601608102	0.00045454545454545455	110
HowardMDD__FinnGenIBD	849	5	87943483	89584466	-0.0984985	-0.39235	0.19224	0.1491301020408163	0.4178006894532295	0.6483917290988626	0.00045454545454545455	110
HowardMDD__FinnGenIBD	889	5	134556571	135344943	0.0254875	-0.25718	0.31429	0.14578316326530613	0.4084239552538311	0.6338398218035325	0.00045454545454545455	110
HowardMDD__FinnGenIBD	896	5	145319097	147180171	-0.202664	-0.51108	0.10279	0.15659948979591837	0.4387268157762774	0.6808673270872215	0.00045454545454545455	110
HowardMDD__FinnGenIBD	948	6	23939307	24950379	0.23401	-0.10304	0.60119	0.17965051020408165	0.503306213814208	0.781089152026706	0.00045454545454545455	110
HowardMDD__FinnGenIBD	951	6	26396201	27261035	-0.011572	-0.28553	0.26128	0.13949234693877552	0.39079969722355923	0.6064884472682549	0.00045454545454545455	110
HowardMDD__FinnGenIBD	952	6	27261036	28666364	-0.0111488	-0.25515	0.23928	0.12613010204081632	0.35336422943663126	0.5483917320144899	0.00045454545454545455	110
HowardMDD__FinnGenIBD	953	6	28666365	29529755	-0.0459232	-0.33398	0.24018	0.14646938775510204	0.41034647164075044	0.6368234064547854	0.00045454545454545455	110
HowardMDD__FinnGenIBD	954	6	29529756	29833843	-0.156412	-0.43566	0.12157	0.14215051020408165	0.39824676813497173	0.6180456785195766	0.00045454545454545455	110
HowardMDD__FinnGenIBD	956	6	30070718	30715006	-0.293851	-0.64109	0.04467	0.1749387755102041	0.49010588754417067	0.7606033496071367	0.00045454545454545455	110
HowardMDD__FinnGenIBD	957	6	30715007	31106493	0.196119	-0.03899	0.43598	0.12116581632653062	0.3394563599609991	0.5268078817121176	0.00045454545454545455	110
HowardMDD__FinnGenIBD	960	6	31320269	31427209	0.118767	-0.13994	0.37759	0.1320229591836735	0.3698735709005114	0.574012849279896	0.00045454545454545455	110
HowardMDD__FinnGenIBD	961	6	31427210	32208901	0.216483	-0.02385	0.46746	0.12533418367346938	0.3511343963038475	0.5449312174747467	0.00045454545454545455	110
HowardMDD__FinnGenIBD	966	6	32629240	32682213	0.107452	-0.2155	0.44359	0.16813520408163266	0.4710451023995092	0.7310226051279861	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1037	6	106053916	107309327	-0.376281	-0.65868	-0.12354	0.136515306122449	0.3824592636788199	0.5935447919224848	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1166	7	73128831	75243899	0.106761	-0.20707	0.43116	0.16281377551020407	0.45613666677455084	0.7078859598398315	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1221	7	147352172	148622913	-0.0232255	-0.4003	0.3581	0.19346938775510203	0.5420209768920599	0.8411712265837209	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1413	9	36749274	37687112	0.0698242	-0.24372	0.38834	0.16123979591836737	0.4517270288164497	0.7010425705096345	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1498	10	10969482	11856924	-0.470344	-0.85109	-0.15536	0.17748214285714284	0.49723134790758544	0.7716614681844569	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1580	10	102509299	104206837	0.30914	0.02296	0.63511	0.1561607142857143	0.4374975487928197	0.6789596075332606	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1592	10	118416050	119528730	-0.0289579	-0.34921	0.2948	0.16428826530612245	0.4602675755910542	0.7142967848525609	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1673	11	62800369	64594822	0.489682	0.14602	0.92371	0.19839030612244898	0.5558073490495598	0.8625665232092483	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1674	11	64594823	66782661	-0.153208	-0.52274	0.19694	0.18359183673469387	0.5143481759621277	0.7982253538340879	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1794	12	56987106	58748139	-0.151859	-0.55535	0.22828	0.19990561224489797	0.5600526082831289	0.8691548105060671	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1845	12	116197676	117091843	0.0891337	-0.30781	0.49545	0.20491326530612244	0.5740819750768935	0.8909272144852843	0.00045454545454545455	110
HowardMDD__FinnGenIBD	1965	14	32382246	33591113	-0.190205	-0.56754	0.15411	0.18409438775510203	0.5157561154722509	0.8004103582069385	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2070	15	66355635	67396520	-0.131614	-0.48819	0.20732	0.1774260204081633	0.49707411608412005	0.7714174575438342	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2089	15	89385188	90632718	-0.618136	-1.0	-0.26735	0.18690051020408163	0.523617706645527	0.8126108902380843	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2096	15	96864279	98025684	0.222548	-0.06775	0.5319	0.1529719387755102	0.4285639224595513	0.6650953665887768	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2203	17	37361179	38880481	-0.392963	-0.72748	-0.10589	0.1585688775510204	0.444244223399704	0.6894298822945346	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2320	19	13213187	13968319	0.00170748	-0.38289	0.39017	0.1972091836734694	0.5524983338557171	0.8574312083634116	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2373	20	3736552	4591847	0.368879	0.03121	0.74848	0.18297704081632654	0.5126257728050736	0.7955523281799916	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2403	20	38427595	40272390	0.154208	-0.10282	0.41901	0.1331198979591837	0.37294673835915565	0.5787821481647984	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2449	21	34383795	35729261	-0.503162	-0.90779	-0.16742	0.18886989795918366	0.5291351142689535	0.8211734454453975	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2473	22	27952442	29457601	0.268887	-0.07238	0.65171	0.18471683673469388	0.5174999593325048	0.8031166580393019	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2484	22	40378784	41722787	-0.095078	-0.44647	0.25847	0.1798316326530612	0.5038136437899376	0.7818766409123525	0.00045454545454545455	110
HowardMDD__FinnGenIBD	2488	22	44409534	45170649	0.00933141	-0.31777	0.33533	0.16660714285714287	0.466764108660607	0.7243788608673895	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	7	1	4773404	5362404	-0.0735532	-0.40076	0.25026	0.1660765306122449	0.4652775532387511	0.7220718511742273	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	33	1	34371023	35201626	0.400544	0.06924	0.78875	0.1835484693877551	0.5142266786439953	0.798036800157243	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	57	1	66778016	67761890	-0.0428082	-0.25722	0.16237	0.10703826530612245	0.2998768218540868	0.46538374863167653	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	176	1	226534712	228045554	-0.274841	-0.69257	0.07609	0.19608673469387755	0.5493536973864066	0.8525509955509533	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	184	1	234365797	235097113	-0.0402721	-0.38917	0.29707	0.1750612244897959	0.4904489387953681	0.7611357364594049	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	205	2	2680064	3314202	0.259135	-0.11174	0.66437	0.1979872448979592	0.5546781386810347	0.8608140831538658	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	230	2	26894103	28819510	-0.172903	-0.50296	0.14006	0.16403571428571426	0.4595600323854593	0.7131987369697576	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	313	2	121073753	122026817	-0.474241	-0.88231	-0.13754	0.18999234693877554	0.5322797507382642	0.8260536582578559	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	349	2	164702313	165917788	-0.484563	-0.90734	-0.1348	0.1970765306122449	0.5521266950002531	0.856854455940121	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	359	2	174118390	174927563	-0.0608633	-0.4081	0.28515	0.17684948979591839	0.4954589164430651	0.7689108027810715	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	465	3	50387743	51953968	-0.0617352	-0.36704	0.24176	0.1553061224489796	0.4351033369355038	0.6752439909601389	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	521	3	116498571	117241644	-0.168614	-0.54113	0.18296	0.18471683673469388	0.5174999593325048	0.8031166580393019	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	555	3	153406719	155046423	0.137147	-0.20935	0.4888	0.1780994897959184	0.4989608979657063	0.7743455852313091	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	584	3	186602046	187939199	0.390019	0.07201	0.74665	0.17210204081632655	0.4821585335580951	0.748269720862924	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	593	3	195710291	196383152	0.15923	-0.19613	0.54897	0.1900765306122449	0.5325155984734623	0.8264196742187901	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	734	4	149998529	151014322	0.0938841	-0.29407	0.49335	0.20087244897959183	0.5627612837873758	0.8733584483604345	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	767	4	183603893	184338584	0.0290952	-0.30759	0.36505	0.17159183673469386	0.48072915334477206	0.7460514423118064	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	809	5	37925488	39438985	-0.0104166	-0.25985	0.23653	0.12662755102040818	0.3547578751446212	0.5505545536018295	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	864	5	106389389	107265911	0.240293	-0.06069	0.56103	0.15860204081632653	0.44433713311357004	0.6895740704003573	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	899	5	149850204	150981934	0.226723	-0.03803	0.5173	0.1416658163265306	0.3968888569323149	0.6159383138960149	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	967	6	32682214	32897998	0.0848239	-0.17256	0.33488	0.12944897959183674	0.36266234772429706	0.5628216339895087	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	968	6	32897999	33194975	0.0458095	-0.19814	0.29642	0.12616326530612246	0.3534571391504973	0.5485359201203126	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	969	6	33194976	33864262	-0.00835096	-0.31679	0.29624	0.15638520408163264	0.4381264760866818	0.6799356500957522	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1000	6	67559695	68547494	-0.0196149	-0.43211	0.38143	0.20753571428571427	0.5814289893733734	0.9023291662380278	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1097	7	2473750	3100211	0.0763018	-0.2133	0.3774	0.1506887755102041	0.4221674460049312	0.6551685700725264	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1099	7	4139432	4938442	-0.216244	-0.56818	0.10123	0.17076785714285717	0.47842070430025563	0.742468922451752	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1119	7	20122180	21390644	-0.130004	-0.40993	0.14442	0.1414158163265306	0.3961884606277867	0.6148513574059674	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1133	7	35354136	36507690	0.600592	0.24922	1.0	0.19152551020408165	0.5365750382792995	0.8327195853039637	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1134	7	36507691	37981936	-0.182677	-0.52085	0.13832	0.16815561224489797	0.47110227760804213	0.7311113362700308	0.00045454545454545455	110
