phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	pair_id	univ_threshold
MDD_Howard2019	2.18516e-05	3.64821e-05	FALSE	0.188103	1	1	10539	1376204	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	6.18861e-05	0.000484861	FALSE	0.0121836	1	1	10539	1376204	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000165067	0.00129325	FALSE	8.92943e-07	2	1	1376205	2215495	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	9.26846e-05	0.000154741	FALSE	0.00395086	3	1	2215496	2983519	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	4.75172e-05	0.000372284	FALSE	0.07367	3	1	2215496	2983519	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	1.01209e-05	1.68972e-05	FALSE	0.38231	4	1	2983520	3582047	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000155114	0.00121527	FALSE	0.00013039	4	1	2983520	3582047	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000113783	0.000189966	FALSE	0.0033631	5	1	3582048	4281476	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000113657	0.00089047	FALSE	0.0033835	5	1	3582048	4281476	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	8.55459e-05	0.000142822	FALSE	0.0254473	6	1	4281477	4773403	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	1.28716e-06	1.00845e-05	FALSE	0.475101	6	1	4281477	4773403	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000148326	0.000247637	FALSE	0.000872598	7	1	4773404	5362404	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	6.78184e-05	0.000113226	FALSE	0.0693985	8	1	5362405	6136814	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000101175	0.000792675	FALSE	0.0156718	8	1	5362405	6136814	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000299038	0.000499256	FALSE	5.39511e-08	9	1	6136815	7711794	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000298591	0.00233938	FALSE	5.56303e-08	9	1	6136815	7711794	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.00023359	0.000389988	FALSE	3.84453e-07	10	1	7711795	8580987	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000419857	0.00328946	FALSE	3.05305e-16	10	1	7711795	8580987	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000166859	0.000278578	FALSE	0.000528518	11	1	8580988	9475966	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000126118	0.0009881	FALSE	0.00565601	11	1	8580988	9475966	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	6.44487e-05	0.0001076	FALSE	0.0665176	12	1	9475967	10753427	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	8.06171e-05	0.000631613	FALSE	0.032024	12	1	9475967	10753427	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000353859	0.000590782	FALSE	4.41252e-12	13	1	10753428	11709173	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000144736	0.00113397	FALSE	0.000893558	13	1	10753428	11709173	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000271568	0.00212766	FALSE	1.61101e-07	14	1	11709174	13481025	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000168471	0.000281269	FALSE	0.000558131	15	1	13481026	14720131	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000142647	0.0011176	FALSE	0.00256469	15	1	13481026	14720131	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000189176	0.000315837	FALSE	0.000308481	16	1	14720132	15755230	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00012817	0.00100418	FALSE	0.00843644	16	1	14720132	15755230	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	4.70303e-05	7.8519e-05	FALSE	0.110983	17	1	15755231	16732168	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	8.24066e-05	0.000645633	FALSE	0.0198895	17	1	15755231	16732168	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	4.35925e-05	7.27795e-05	FALSE	0.110129	18	1	16732169	17557746	HowardMDD__FinnGenIBD	5.01002004008016e-06
