locus	gene_id	gene_symbol	gene_type	gene_start37	gene_end37	min_distance_bp	n_support_variants	overlaps_any_variant	FinnGen_DEP	FinnGen_IBD	Howard_DEP	deLange_IBD	FinnGen_DEP_strict	FinnGen_IBD_strict	Howard_DEP_strict	deLange_IBD_strict	Howard_DEP_H4_ge_0.8	FinnGen_DEP_H4_ge_0.8	deLange_IBD_H4_ge_0.8	FinnGen_IBD_H4_ge_0.8	depression_both_cohorts_qtl	ibd_both_cohorts_qtl	shared_four_gwas_qtl	evidence_class	shared_mechanism_interpretation
block154	ENSG00000163362	C1orf106	protein_coding	200860176	200884863	0	26	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000081248	CACNA1S	protein_coding	201008642	201081694	0	12	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000118200	CAMSAP2	protein_coding	200708686	200829832	0	22	True		0.0026085844937078		2.24911433214626e-15		0.0002614723147339		2.24911433214626e-16	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000116852	KIF21B	protein_coding	200938520	200992828	0	20	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000233217	MROH3P	pseudogene	200890122	200935658	0	25	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000201032	RNU6-704P	snRNA	200902473	200902575	32	24	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000231333	RPL34P6	pseudogene	200832936	200833280	79	20	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000170128	GPR25	protein_coding	200842083	200843306	9226	20	False		0.970685278728757		0.989395004838075		0.76804899802969		0.903190068114221	False	False	True	True	False	True	False	Tier1_IBD_component	not supported across both depression and both IBD cohorts
block154	ENSG00000229191	RP11-168O16.1	lincRNA	200993077	200997920	9588	13	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000234132	RP11-168O16.2	antisense	201004224	201012201	13649	12	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000260088	RP11-92G12.3	lincRNA	200638635	200663378	46418	4	False		0.0152948608400288		0.008380198508563		0.0015508338937344		0.0008443883788662	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000232237	ASCL5	protein_coding	201083081	201096312	57231	2	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000118197	DDX59	protein_coding	200593024	200639097	70699	2	False		0.0167576064209458		0.0010887505639209		0.0017014212144558		0.0001089818450328	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block154	ENSG00000116857	TMEM9	protein_coding	201103900	201140702	78050	1	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000134780	DAGLA	protein_coding	61447905	61514473	0	34	True	0.0104825193361829		0.0236281262764155		0.0010582356113506		0.00241415029077		False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000149485	FADS1	protein_coding	61567099	61596790	0	40	True	0.950284289872021		0.0318589100189474		0.656526955551424		0.0032799366889518		False	True	False	False	False	False	False	Tier3_single_cohort_molecular	not supported across both depression and both IBD cohorts
block1671	ENSG00000134824	FADS2	protein_coding	61560452	61634826	0	40	True	0.0025210100840132		0.0073327815160397		0.0002526743034215		0.000738149572189		False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000168496	FEN1	protein_coding	61560109	61564716	0	40	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000124920	MYRF	protein_coding	61520114	61555990	0	40	True	0.0059816940786475		0.143301605418678		0.000601407097813		0.0164519985683376		False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000134825	TMEM258	protein_coding	61535973	61560274	0	40	True	0.964527630802221		0.0336039940017662		0.731117425578707		0.0034651994887273		False	True	False	False	False	False	False	Tier3_single_cohort_molecular	not supported across both depression and both IBD cohorts
